Name,Number of newborns
EMMA,107705
LÉA,104370
MANON,94520
CHLOÉ,86167
CAMILLE,80502
JADE,73997
SARAH,70655
INÈS,68176
CLARA,66986
LOUISE,60876
LOLA,59213
LUCIE,54654
MARIE,50295
EVA,49691
OCÉANE,49629
ANAÏS,48465
ZOÉ,45938
JULIETTE,45228
ROMANE,44259
MATHILDE,43943
LINA,42569
LÉNA,41639
ALICE,41400
LILOU,41053
LISA,40681
JULIE,39967
LAURA,39928
PAULINE,37985
CHARLOTTE,37205
JEANNE,36587
AMBRE,36036
LOU,34380
CLÉMENCE,32625
LOUNA,31996
CÉLIA,31672
ANNA,31170
JUSTINE,31032
MARGAUX,30189
JULIA,28616
ALICIA,28521
NINA,27596
ELISA,27445
MAEVA,26484
MARGOT,26114
EMILIE,25847
MAELYS,25684
ELISE,25218
AGATHE,25124
NOEMIE,25082
MARINE,24624
